Start-Time: 28/09/2016 21:46:14

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
21/03/2017, Navami upto  20:50, Pooradam upto  23:01,  ,  , 
22/03/2017, Thasami upto  21:56, Uthiradam upto  24:38+,  ,  , 
23/03/2017, Egadashi upto  22:31, Thiruvonam upto  25:46+,  ,  , 
24/03/2017, Duvadasi upto  22:36, Avittam upto  26:24+,  ,  , 
25/03/2017, Thirayodasi upto  22:11, Sathayam upto  26:33+,  ,  , 
26/03/2017, Sathuradasi upto  21:17, Poorattathi upto  26:15+,  ,  , 
27/03/2017, Amavasai upto  19:57, Uthirattathi upto  25:32+,  ,  , 
28/03/2017, Pirathamai upto  18:16, Revathi upto  24:29+,  ,  , 
29/03/2017, Thuthiyai upto  16:17, Aswini upto  23:09,  ,  , 
30/03/2017, Thiruthiyai upto  14:05, Bharani upto  21:38,  ,  , 
31/03/2017, Sathurthi upto  11:44, Karthigai upto  20:00,  ,  , 
01/04/2017, Panjami upto  09:19, Rohini upto  18:19,  ,  , 
02/04/2017, Shasti upto  06:55, Mirugasirisham upto  16:42, Sapthami upto  28:37+,  , 
03/04/2017, Astami upto  26:30+, Thiruvathirai upto  15:13,  ,  , 
04/04/2017, Navami upto  24:38+, Punarpoosam upto  13:57,  ,  , 
05/04/2017, Thasami upto  23:05, Poosam upto  12:58,  ,  , 
06/04/2017, Egadashi upto  21:55, Ayilyam upto  12:20,  ,  , 
07/04/2017, Duvadasi upto  21:11, Magam upto  12:07,  ,  , 
08/04/2017, Thirayodasi upto  20:57, Pooram upto  12:22,  ,  , 
09/04/2017, Sathuradasi upto  21:14, Uthiram upto  13:07,  ,  , 
10/04/2017, Pournami upto  22:01, Hastham upto  14:21,  ,  , 
11/04/2017, Pirathamai upto  23:16, Chithirai upto  16:04,  ,  , 
12/04/2017, Thuthiyai upto  24:55+, Swathi upto  18:11,  ,  , 
13/04/2017, Thiruthiyai upto  26:51+, Visakam upto  20:37,  ,  , 
14/04/2017, Sathurthi upto  28:56+, Anusham upto  23:13,  ,  , 
15/04/2017, Panjami upto Full Night, Kettai upto  25:49+,  ,  , 
16/04/2017, Panjami upto  06:58, Moolam upto  28:14+,  ,  , 
17/04/2017, Shasti upto  08:47, Pooradam upto Full Night,  ,  , 
18/04/2017, Sapthami upto  10:16, Pooradam upto  06:22,  ,  , 
19/04/2017, Astami upto  11:19, Uthiradam upto  08:05,  ,  , 
20/04/2017, Navami upto  11:53, Thiruvonam upto  09:20,  ,  , 
21/04/2017, Thasami upto  11:56, Avittam upto  10:05,  ,  , 
22/04/2017, Egadashi upto  11:28, Sathayam upto  10:21,  ,  , 
23/04/2017, Duvadasi upto  10:32, Poorattathi upto  10:08,  ,  , 
24/04/2017, Thirayodasi upto  09:11, Uthirattathi upto  09:31,  ,  , 
25/04/2017, Sathuradasi upto  07:28, Revathi upto  08:32, Amavasai upto  29:28+,  , 
26/04/2017, Pirathamai upto  27:14+, Aswini upto  07:16,  , Bharani upto  29:47+, 
27/04/2017, Thuthiyai upto  24:52+, Karthigai upto  28:10+,  ,  , 
28/04/2017, Thiruthiyai upto  22:25, Rohini upto  26:30+,  ,  , 
29/04/2017, Sathurthi upto  19:59, Mirugasirisham upto  24:51+,  ,  , 
30/04/2017, Panjami upto  17:40, Thiruvathirai upto  23:20,  ,  , 
01/05/2017, Shasti upto  15:30, Punarpoosam upto  22:00,  ,  , 
02/05/2017, Sapthami upto  13:36, Poosam upto  20:57,  ,  , 
03/05/2017, Astami upto  12:01, Ayilyam upto  20:14,  ,  , 
04/05/2017, Navami upto  10:49, Magam upto  19:55,  ,  , 
05/05/2017, Thasami upto  10:03, Pooram upto  20:03,  ,  , 
