Start-Time: 13/09/2017 09:28:14

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
21/03/2018, Panjami upto  25:22+, Bharani upto  06:44,  , Karthigai upto  29:41+, 
22/03/2018, Shasti upto  23:22, Rohini upto  28:22+,  ,  , 
23/03/2018, Sapthami upto  21:09, Mirugasirisham upto  26:51+,  ,  , 
24/03/2018, Astami upto  18:48, Thiruvathirai upto  25:12+,  ,  , 
25/03/2018, Navami upto  16:23, Punarpoosam upto  23:32,  ,  , 
26/03/2018, Thasami upto  14:00, Poosam upto  21:55,  ,  , 
27/03/2018, Egadashi upto  11:44, Ayilyam upto  20:26,  ,  , 
28/03/2018, Duvadasi upto  09:38, Magam upto  19:10,  ,  , 
29/03/2018, Thirayodasi upto  07:48, Pooram upto  18:11, Sathuradasi upto  30:17+,  , 
30/03/2018, Pournami upto  29:10+, Uthiram upto  17:33,  ,  , 
31/03/2018, Pirathamai upto  28:30+, Hastham upto  17:20,  ,  , 
01/04/2018, Thuthiyai upto  28:19+, Chithirai upto  17:36,  ,  , 
02/04/2018, Thiruthiyai upto  28:40+, Swathi upto  18:20,  ,  , 
03/04/2018, Sathurthi upto  29:30+, Visakam upto  19:35,  ,  , 
04/04/2018, Panjami upto Full Night, Anusham upto  21:18,  ,  , 
05/04/2018, Panjami upto  06:48, Kettai upto  23:25,  ,  , 
06/04/2018, Shasti upto  08:30, Moolam upto  25:51+,  ,  , 
07/04/2018, Sapthami upto  10:28, Pooradam upto  28:27+,  ,  , 
08/04/2018, Astami upto  12:33, Uthiradam upto Full Night,  ,  , 
09/04/2018, Navami upto  14:35, Uthiradam upto  07:03,  ,  , 
10/04/2018, Thasami upto  16:23, Thiruvonam upto  09:29,  ,  , 
11/04/2018, Egadashi upto  17:51, Avittam upto  11:36,  ,  , 
12/04/2018, Duvadasi upto  18:52, Sathayam upto  13:19,  ,  , 
13/04/2018, Thirayodasi upto  19:23, Poorattathi upto  14:34,  ,  , 
14/04/2018, Sathuradasi upto  19:23, Uthirattathi upto  15:18,  ,  , 
15/04/2018, Amavasai upto  18:53, Revathi upto  15:34,  ,  , 
16/04/2018, Pirathamai upto  17:55, Aswini upto  15:21,  ,  , 
17/04/2018, Thuthiyai upto  16:31, Bharani upto  14:44,  ,  , 
18/04/2018, Thiruthiyai upto  14:47, Karthigai upto  13:44,  ,  , 
19/04/2018, Sathurthi upto  12:45, Rohini upto  12:28,  ,  , 
20/04/2018, Panjami upto  10:31, Mirugasirisham upto  11:00,  ,  , 
21/04/2018, Shasti upto  08:09, Thiruvathirai upto  09:23, Sapthami upto  29:42+,  , 
22/04/2018, Astami upto  27:17+, Punarpoosam upto  07:42,  ,  , 
23/04/2018, Navami upto  24:59+, Poosam upto  06:04,  , Ayilyam upto  28:32+, 
24/04/2018, Thasami upto  22:51, Magam upto  27:13+,  ,  , 
25/04/2018, Egadashi upto  21:00, Pooram upto  26:10+,  ,  , 
26/04/2018, Duvadasi upto  19:27, Uthiram upto  25:27+,  ,  , 
27/04/2018, Thirayodasi upto  18:18, Hastham upto  25:08+,  ,  , 
28/04/2018, Sathuradasi upto  17:36, Chithirai upto  25:17+,  ,  , 
29/04/2018, Pournami upto  17:23, Swathi upto  25:54+,  ,  , 
30/04/2018, Pirathamai upto  17:40, Visakam upto  27:02+,  ,  , 
01/05/2018, Thuthiyai upto  18:28, Anusham upto  28:39+,  ,  , 
02/05/2018, Thiruthiyai upto  19:44, Kettai upto Full Night,  ,  , 
03/05/2018, Sathurthi upto  21:23, Kettai upto  06:42,  ,  , 
04/05/2018, Panjami upto  23:18, Moolam upto  09:04,  ,  , 
05/05/2018, Shasti upto  25:21+, Pooradam upto  11:38,  ,  , 
06/05/2018, Sapthami upto  27:21+, Uthiradam upto  14:15,  ,  , 
07/05/2018, Astami upto  29:07+, Thiruvonam upto  16:43,  ,  , 
08/05/2018, Navami upto Full Night, Avittam upto  18:56,  ,  , 
09/05/2018, Navami upto  06:33, Sathayam upto  20:45,  ,  , 
10/05/2018, Thasami upto  07:33, Poorattathi upto  22:06,  ,  , 
11/05/2018, Egadashi upto  08:03, Uthirattathi upto  22:58,  ,  , 
12/05/2018, Duvadasi upto  08:02, Revathi upto  23:20,  ,  , 
13/05/2018, Thirayodasi upto  07:31, Aswini upto  23:13,  ,  , 
14/05/2018, Sathuradasi upto  06:31, Bharani upto  22:41, Amavasai upto  29:08+,  , 
15/05/2018, Pirathamai upto  27:22+, Karthigai upto  21:47,  ,  , 
16/05/2018, Thuthiyai upto  25:19+, Rohini upto  20:34,  ,  , 
17/05/2018, Thiruthiyai upto  23:04, Mirugasirisham upto  19:08,  ,  , 
18/05/2018, Sathurthi upto  20:40, Thiruvathirai upto  17:32,  ,  , 
19/05/2018, Panjami upto  18:12, Punarpoosam upto  15:52,  ,  , 
20/05/2018, Shasti upto  15:46, Poosam upto  14:13,  ,  , 
21/05/2018, Sapthami upto  13:26, Ayilyam upto  12:40,  ,  , 
22/05/2018, Astami upto  11:16, Magam upto  11:17,  ,  , 
23/05/2018, Navami upto  09:22, Pooram upto  10:10,  ,  , 
24/05/2018, Thasami upto  07:47, Uthiram upto  09:22,  ,  , 
25/05/2018, Egadashi upto  06:35, Hastham upto  08:57,  ,  , 
26/05/2018, Duvadasi upto  05:51, Chithirai upto  08:59,  ,  , 
27/05/2018, Thirayodasi upto  05:34, Swathi upto  09:30,  ,  , 
28/05/2018, Sathuradasi upto  05:49, Visakam upto  10:31,  ,  , 
29/05/2018, Pournami upto  06:34, Anusham upto  12:02,  ,  , 
30/05/2018, Pirathamai upto  07:47, Kettai upto  13:58,  ,  , 
31/05/2018, Thuthiyai upto  09:23, Moolam upto  16:16,  ,  , 
01/06/2018, Thiruthiyai upto  11:16, Pooradam upto  18:49,  ,  , 
02/06/2018, Sathurthi upto  13:17, Uthiradam upto  21:26,  ,  , 
03/06/2018, Panjami upto  15:15, Thiruvonam upto  23:58,  ,  , 
04/06/2018, Shasti upto  17:01, Avittam upto  26:14+,  ,  , 
05/06/2018, Sapthami upto  18:26, Sathayam upto  28:09+,  ,  , 
06/06/2018, Astami upto  19:26, Poorattathi upto Full Night,  ,  , 
07/06/2018, Navami upto  19:56, Poorattathi upto  05:37,  ,  , 
08/06/2018, Thasami upto  19:56, Uthirattathi upto  06:36,  ,  , 
09/06/2018, Egadashi upto  19:25, Revathi upto  07:05,  ,  , 
10/06/2018, Duvadasi upto  18:26, Aswini upto  07:05,  ,  , 
11/06/2018, Thirayodasi upto  17:03, Bharani upto  06:38,  ,  , 
12/06/2018, Sathuradasi upto  15:17, Karthigai upto  05:48,  , Rohini upto  28:40+, 
13/06/2018, Amavasai upto  13:15, Mirugasirisham upto  27:16+,  ,  , 
14/06/2018, Pirathamai upto  10:59, Thiruvathirai upto  25:42+,  ,  , 
15/06/2018, Thuthiyai upto  08:34, Punarpoosam upto  24:03+,  ,  , 
16/06/2018, Thiruthiyai upto  06:06, Poosam upto  22:23, Sathurthi upto  27:38+,  , 
17/06/2018, Panjami upto  25:17+, Ayilyam upto  20:48,  ,  , 
18/06/2018, Shasti upto  23:05, Magam upto  19:22,  ,  , 
19/06/2018, Sapthami upto  21:09, Pooram upto  18:11,  ,  , 
20/06/2018, Astami upto  19:32, Uthiram upto  17:18,  ,  , 
21/06/2018, Navami upto  18:18, Hastham upto  16:48,  ,  , 
22/06/2018, Thasami upto  17:30, Chithirai upto  16:43,  ,  , 
23/06/2018, Egadashi upto  17:11, Swathi upto  17:08,  ,  , 
24/06/2018, Duvadasi upto  17:22, Visakam upto  18:02,  ,  , 
25/06/2018, Thirayodasi upto  18:04, Anusham upto  19:25,  ,  , 
26/06/2018, Sathuradasi upto  19:14, Kettai upto  21:17,  ,  , 
27/06/2018, Pournami upto  20:47, Moolam upto  23:31,  ,  , 
28/06/2018, Pirathamai upto  22:39, Pooradam upto  26:00+,  ,  , 
29/06/2018, Thuthiyai upto  24:39+, Uthiradam upto  28:37+,  ,  , 
30/06/2018, Thiruthiyai upto  26:37+, Thiruvonam upto Full Night,  ,  , 
01/07/2018, Sathurthi upto  28:23+, Thiruvonam upto  07:11,  ,  , 
02/07/2018, Panjami upto Full Night, Avittam upto  09:32,  ,  , 
03/07/2018, Panjami upto  05:49, Sathayam upto  11:32,  ,  , 
04/07/2018, Shasti upto  06:50, Poorattathi upto  13:07,  ,  , 
05/07/2018, Sapthami upto  07:23, Uthirattathi upto  14:12,  ,  , 
06/07/2018, Astami upto  07:24, Revathi upto  14:48,  ,  , 
07/07/2018, Navami upto  06:55, Aswini upto  14:54,  ,  , 
08/07/2018, Thasami upto  05:58, Bharani upto  14:33, Egadashi upto  28:36+,  , 
09/07/2018, Duvadasi upto  26:52+, Karthigai upto  13:49,  ,  , 
10/07/2018, Thirayodasi upto  24:50+, Rohini upto  12:44,  ,  , 
11/07/2018, Sathuradasi upto  22:35, Mirugasirisham upto  11:23,  ,  , 
12/07/2018, Amavasai upto  20:11, Thiruvathirai upto  09:52,  ,  , 
13/07/2018, Pirathamai upto  17:42, Punarpoosam upto  08:13,  ,  , 
14/07/2018, Thuthiyai upto  15:14, Poosam upto  06:33,  , Ayilyam upto  28:56+, 
15/07/2018, Thiruthiyai upto  12:52, Magam upto  27:28+,  ,  , 
16/07/2018, Sathurthi upto  10:40, Pooram upto  26:13+,  ,  , 
17/07/2018, Panjami upto  08:42, Uthiram upto  25:16+,  ,  , 
18/07/2018, Shasti upto  07:03, Hastham upto  24:40+,  ,  , 
19/07/2018, Sapthami upto  05:47, Chithirai upto  24:29+, Astami upto  28:57+,  , 
20/07/2018, Navami upto  28:36+, Swathi upto  24:47+,  ,  , 
21/07/2018, Thasami upto  28:45+, Visakam upto  25:34+,  ,  , 
22/07/2018, Egadashi upto  29:25+, Anusham upto  26:51+,  ,  , 
23/07/2018, Duvadasi upto Full Night, Kettai upto  28:36+,  ,  , 
24/07/2018, Duvadasi upto  06:33, Moolam upto Full Night,  ,  , 
25/07/2018, Thirayodasi upto  08:05, Moolam upto  06:45,  ,  , 
26/07/2018, Sathuradasi upto  09:56, Pooradam upto  09:12,  ,  , 
27/07/2018, Pournami upto  11:56, Uthiradam upto  11:48,  ,  , 
28/07/2018, Pirathamai upto  13:55, Thiruvonam upto  14:23,  ,  , 
29/07/2018, Thuthiyai upto  15:43, Avittam upto  16:48,  ,  , 
30/07/2018, Thiruthiyai upto  17:12, Sathayam upto  18:53,  ,  , 
31/07/2018, Sathurthi upto  18:16, Poorattathi upto  20:34,  ,  , 
01/08/2018, Panjami upto  18:51, Uthirattathi upto  21:47,  ,  , 
02/08/2018, Shasti upto  18:55, Revathi upto  22:30,  ,  , 
03/08/2018, Sapthami upto  18:29, Aswini upto  22:42,  ,  , 
04/08/2018, Astami upto  17:35, Bharani upto  22:28,  ,  , 
05/08/2018, Navami upto  16:15, Karthigai upto  21:48,  ,  , 
06/08/2018, Thasami upto  14:33, Rohini upto  20:48,  ,  , 
07/08/2018, Egadashi upto  12:33, Mirugasirisham upto  19:30,  ,  , 
08/08/2018, Duvadasi upto  10:20, Thiruvathirai upto  18:01,  ,  , 
09/08/2018, Thirayodasi upto  07:57, Punarpoosam upto  16:23, Sathuradasi upto  29:29+,  , 
10/08/2018, Amavasai upto  27:02+, Poosam upto  14:43,  ,  , 
11/08/2018, Pirathamai upto  24:40+, Ayilyam upto  13:05,  ,  , 
12/08/2018, Thuthiyai upto  22:28, Magam upto  11:34,  ,  , 
13/08/2018, Thiruthiyai upto  20:30, Pooram upto  10:16,  ,  , 
14/08/2018, Sathurthi upto  18:50, Uthiram upto  09:14,  ,  , 
15/08/2018, Panjami upto  17:33, Hastham upto  08:33,  ,  , 
16/08/2018, Shasti upto  16:43, Chithirai upto  08:16,  ,  , 
17/08/2018, Sapthami upto  16:20, Swathi upto  08:27,  ,  , 
18/08/2018, Astami upto  16:29, Visakam upto  09:08,  ,  , 
19/08/2018, Navami upto  17:08, Anusham upto  10:18,  ,  , 
20/08/2018, Thasami upto  18:16, Kettai upto  11:57,  ,  , 
21/08/2018, Egadashi upto  19:48, Moolam upto  14:01,  ,  , 
22/08/2018, Duvadasi upto  21:39, Pooradam upto  16:24,  ,  , 
23/08/2018, Thirayodasi upto  23:41, Uthiradam upto  18:59,  ,  , 
24/08/2018, Sathuradasi upto  25:42+, Thiruvonam upto  21:36,  ,  , 
25/08/2018, Pournami upto  27:32+, Avittam upto  24:03+,  ,  , 
26/08/2018, Pirathamai upto  29:04+, Sathayam upto  26:14+,  ,  , 
27/08/2018, Thuthiyai upto Full Night, Poorattathi upto  28:01+,  ,  , 
28/08/2018, Thuthiyai upto  06:11, Uthirattathi upto  29:20+,  ,  , 
