Start-Time: 05/09/2015 10:38:45

Date, Tithi, Nakshatra, Skipped Tithi, Skipped Nakshatra, 
20/03/2016, Thirayodasi upto  24:41+, Magam upto  25:16+,  ,  , 
21/03/2016, Sathuradasi upto  26:42+, Pooram upto  27:49+,  ,  , 
22/03/2016, Pournami upto  29:00+, Uthiram upto Full Night,  ,  , 
23/03/2016, Pirathamai upto Full Night, Uthiram upto  06:37,  ,  , 
24/03/2016, Pirathamai upto  07:30, Hastham upto  09:36,  ,  , 
25/03/2016, Thuthiyai upto  10:05, Chithirai upto  12:40,  ,  , 
26/03/2016, Thiruthiyai upto  12:38, Swathi upto  15:43,  ,  , 
27/03/2016, Sathurthi upto  15:03, Visakam upto  18:35,  ,  , 
28/03/2016, Panjami upto  17:11, Anusham upto  21:11,  ,  , 
29/03/2016, Shasti upto  18:52, Kettai upto  23:19,  ,  , 
30/03/2016, Sapthami upto  19:58, Moolam upto  24:53+,  ,  , 
31/03/2016, Astami upto  20:23, Pooradam upto  25:47+,  ,  , 
01/04/2016, Navami upto  20:03, Uthiradam upto  25:56+,  ,  , 
02/04/2016, Thasami upto  18:57, Thiruvonam upto  25:20+,  ,  , 
03/04/2016, Egadashi upto  17:07, Avittam upto  24:01+,  ,  , 
04/04/2016, Duvadasi upto  14:37, Sathayam upto  22:05,  ,  , 
05/04/2016, Thirayodasi upto  11:34, Poorattathi upto  19:38,  ,  , 
06/04/2016, Sathuradasi upto  08:06, Uthirattathi upto  16:50, Amavasai upto  28:23+,  , 
07/04/2016, Pirathamai upto  24:35+, Revathi upto  13:52,  ,  , 
08/04/2016, Thuthiyai upto  20:52, Aswini upto  10:53,  ,  , 
09/04/2016, Thiruthiyai upto  17:25, Bharani upto  08:04,  , Karthigai upto  29:38+, 
10/04/2016, Sathurthi upto  14:24, Rohini upto  27:42+,  ,  , 
11/04/2016, Panjami upto  11:56, Mirugasirisham upto  26:24+,  ,  , 
12/04/2016, Shasti upto  10:10, Thiruvathirai upto  25:52+,  ,  , 
13/04/2016, Sapthami upto  09:11, Punarpoosam upto  26:06+,  ,  , 
14/04/2016, Astami upto  08:59, Poosam upto  27:06+,  ,  , 
15/04/2016, Navami upto  09:33, Ayilyam upto  28:47+,  ,  , 
16/04/2016, Thasami upto  10:48, Magam upto Full Night,  ,  , 
17/04/2016, Egadashi upto  12:36, Magam upto  07:03,  ,  , 
18/04/2016, Duvadasi upto  14:49, Pooram upto  09:44,  ,  , 
19/04/2016, Thirayodasi upto  17:16, Uthiram upto  12:40,  ,  , 
20/04/2016, Sathuradasi upto  19:50, Hastham upto  15:45,  ,  , 
21/04/2016, Pournami upto  22:23, Chithirai upto  18:49,  ,  , 
22/04/2016, Pirathamai upto  24:49+, Swathi upto  21:48,  ,  , 
23/04/2016, Thuthiyai upto  27:04+, Visakam upto  24:36+,  ,  , 
24/04/2016, Thiruthiyai upto  29:03+, Anusham upto  27:10+,  ,  , 
25/04/2016, Sathurthi upto Full Night, Kettai upto  29:24+,  ,  , 
26/04/2016, Sathurthi upto  06:41, Moolam upto Full Night,  ,  , 
27/04/2016, Panjami upto  07:53, Moolam upto  07:13,  ,  , 
28/04/2016, Shasti upto  08:34, Pooradam upto  08:33,  ,  , 
29/04/2016, Sapthami upto  08:40, Uthiradam upto  09:18,  ,  , 
30/04/2016, Astami upto  08:06, Thiruvonam upto  09:25,  ,  , 
01/05/2016, Navami upto  06:53, Avittam upto  08:52, Thasami upto  28:59+,  , 
02/05/2016, Egadashi upto  26:28+, Sathayam upto  07:39,  ,  , 
